epoch,accuracy,loss,val_accuracy,val_loss
0,0.36645448207855225,1.3268771171569824,0.4005763828754425,1.2707290649414062
1,0.6219208240509033,1.0020047426223755,0.6541786789894104,0.9331340789794922
2,0.793523371219635,0.5947486162185669,0.7233429551124573,0.7785589098930359
3,0.8544146418571472,0.4120616018772125,0.7118155360221863,0.7474451661109924
4,0.8848602175712585,0.3205851912498474,0.7031700015068054,0.8065552115440369
5,0.9117076992988586,0.2615503966808319,0.7146974205970764,0.8295713663101196
6,0.9327428936958313,0.21094770729541779,0.7002881765365601,0.8889614939689636
7,0.949903130531311,0.17464689910411835,0.6772334575653076,0.964128851890564
8,0.9582064747810364,0.14586716890335083,0.6974063515663147,0.9946556687355042
9,0.9626349210739136,0.12700329720973969,0.6714697480201721,1.0716584920883179
10,0.9678937196731567,0.11249706894159317,0.6685879230499268,1.133193016052246
11,0.971491813659668,0.09858373552560806,0.6714697480201721,1.1269077062606812
12,0.9687240719795227,0.0991041511297226,0.6685879230499268,1.2090920209884644
13,0.972875714302063,0.09152570366859436,0.6657060384750366,1.2424943447113037
14,0.973706066608429,0.08653343468904495,0.6599423885345459,1.3041414022445679
15,0.9739828109741211,0.07798071205615997,0.6570605039596558,1.3324919939041138
16,0.9775809645652771,0.07833346724510193,0.6657060384750366,1.311866044998169
17,0.9739828109741211,0.07859250158071518,0.6714697480201721,1.340547800064087
18,0.9753667116165161,0.07322362065315247,0.6628242135047913,1.4166170358657837
19,0.9748131632804871,0.06601019203662872,0.6829971075057983,1.345857858657837
20,0.9784113168716431,0.0659048780798912,0.6714697480201721,1.3979954719543457
21,0.976473867893219,0.06249113008379936,0.680115282535553,1.416520118713379
22,0.9786880612373352,0.058502502739429474,0.6829971075057983,1.419175148010254
23,0.9759202599525452,0.06261524558067322,0.6714697480201721,1.4385689496994019
24,0.9781345129013062,0.05537732318043709,0.6657060384750366,1.460882306098938
